,Date,Week,count_0,count_1,count_2,rate_0,rate_1,rate_2
0,2020-11-21,Saturday,2,3,3,0.25,0.375,0.375
1,2020-11-22,Sunday,0,3,12,0.0,0.2,0.8
2,2020-11-23,Monday,5,5,11,0.23809523809523808,0.23809523809523808,0.5238095238095238
3,2020-11-24,Tuesday,3,5,10,0.16666666666666666,0.2777777777777778,0.5555555555555556
4,2020-11-25,Wednesday,3,5,17,0.12,0.2,0.68
5,2020-11-26,Thursday,1,1,7,0.1111111111111111,0.1111111111111111,0.7777777777777778
6,2020-11-27,Friday,0,0,5,0.0,0.0,1.0
7,2020-11-28,Saturday,0,2,3,0.0,0.4,0.6
8,2020-11-29,Sunday,5,2,5,0.4166666666666667,0.16666666666666666,0.4166666666666667
9,2020-11-30,Monday,0,0,6,0.0,0.0,1.0
10,2020-12-01,Tuesday,0,2,2,0.0,0.5,0.5
11,2020-12-02,Wednesday,12,29,54,0.12631578947368421,0.30526315789473685,0.5684210526315789
12,2020-12-03,Thursday,30,60,94,0.16304347826086957,0.32608695652173914,0.5108695652173914
13,2020-12-04,Friday,31,53,76,0.19375,0.33125,0.475
14,2020-12-05,Saturday,13,33,34,0.1625,0.4125,0.425
15,2020-12-06,Sunday,8,32,42,0.0975609756097561,0.3902439024390244,0.5121951219512195
16,2020-12-07,Monday,26,53,53,0.19696969696969696,0.4015151515151515,0.4015151515151515
17,2020-12-08,Tuesday,21,38,53,0.1875,0.3392857142857143,0.4732142857142857
18,2020-12-09,Wednesday,2,8,8,0.1111111111111111,0.4444444444444444,0.4444444444444444
19,2020-12-10,Thursday,5,1,4,0.5,0.1,0.4
20,2020-12-11,Friday,0,2,2,0.0,0.5,0.5
21,2020-12-13,Sunday,0,0,2,0.0,0.0,1.0
22,2020-12-14,Monday,0,0,1,0.0,0.0,1.0
23,2020-12-15,Tuesday,16,20,29,0.24615384615384617,0.3076923076923077,0.4461538461538462
24,2020-12-16,Wednesday,19,33,65,0.1623931623931624,0.28205128205128205,0.5555555555555556
25,2020-12-17,Thursday,18,36,94,0.12162162162162163,0.24324324324324326,0.6351351351351351
26,2020-12-18,Friday,18,12,72,0.17647058823529413,0.11764705882352941,0.7058823529411765
27,2020-12-19,Saturday,18,22,53,0.1935483870967742,0.23655913978494625,0.5698924731182796
28,2020-12-20,Sunday,15,21,43,0.189873417721519,0.26582278481012656,0.5443037974683544
