,Date,count_0,count_1,count_2,status
0,2020-11-21,2,3,3,
1,2020-11-22,0,3,12,
2,2020-11-23,5,5,11,1.0
3,2020-11-24,3,5,10,0.0
4,2020-11-25,3,5,17,0.0
5,2020-11-26,1,1,7,1.0
6,2020-11-27,0,0,5,1.0
7,2020-11-28,0,2,3,
8,2020-11-29,5,2,5,
9,2020-11-30,0,0,6,0.0
10,2020-12-01,0,2,2,1.0
11,2020-12-02,12,29,54,1.0
12,2020-12-03,30,60,94,0.0
13,2020-12-04,31,53,76,1.0
14,2020-12-05,13,33,34,
15,2020-12-06,8,32,42,
16,2020-12-07,26,53,53,1.0
17,2020-12-08,21,38,53,1.0
18,2020-12-09,2,8,8,1.0
19,2020-12-10,5,1,4,0.0
20,2020-12-11,0,2,2,1.0
21,2020-12-13,0,0,2,
22,2020-12-14,0,0,1,0.0
23,2020-12-15,16,20,29,0.0
24,2020-12-16,19,33,65,1.0
25,2020-12-17,18,36,94,0.0
26,2020-12-18,18,12,72,0.0
27,2020-12-19,18,22,53,
28,2020-12-20,15,21,43,
29,2020-12-21,30,51,76,1.0
30,2020-12-22,0,0,1,0.0
31,2020-12-23,30,41,108,1.0
32,2020-12-24,22,48,78,1.0
33,2020-12-25,0,1,0,1.0
34,2020-12-26,20,26,49,
35,2020-12-27,15,36,102,
36,2020-12-28,26,85,129,1.0
37,2020-12-29,30,49,90,0.0
38,2020-12-30,61,79,118,1.0
39,2020-12-31,49,72,106,1.0
40,2021-01-01,0,2,0,
41,2021-01-02,17,15,37,
42,2021-01-03,10,29,87,
43,2021-01-04,0,0,1,1.0
44,2021-01-05,69,119,193,1.0
45,2021-01-06,1,1,1,0.0
46,2021-01-07,98,140,169,1.0
47,2021-01-08,77,129,142,1.0
48,2021-01-09,41,82,102,
49,2021-01-10,39,76,101,
50,2021-01-11,51,97,126,1.0
51,2021-01-12,68,99,111,0.0
52,2021-01-13,59,109,177,1.0
53,2021-01-14,0,0,1,0.0
54,2021-01-15,68,132,130,0.0
55,2021-01-16,39,76,89,
56,2021-01-17,46,83,156,
57,2021-01-18,52,63,144,0.0
58,2021-01-19,83,134,239,1.0
59,2021-01-20,126,136,211,0.0
60,2021-01-21,89,148,195,1.0
61,2021-01-22,51,100,178,0.0
62,2021-01-23,74,111,235,
63,2021-01-24,0,0,4,
64,2021-01-25,43,81,179,0.0
65,2021-01-26,50,60,87,0.0
66,2021-01-27,24,49,100,1.0
67,2021-01-28,81,104,146,0.0
68,2021-01-29,108,123,139,0.0
69,2021-01-30,19,37,88,
70,2021-01-31,31,25,95,
71,2021-02-01,35,73,132,1.0
72,2021-02-02,44,67,142,1.0
73,2021-02-03,38,46,111,1.0
74,2021-02-04,43,68,137,0.0
75,2021-02-05,41,65,138,1.0
76,2021-02-06,15,45,122,
77,2021-02-07,3,16,108,
78,2021-02-08,10,21,100,
79,2021-02-09,12,25,66,
80,2021-02-10,5,31,117,
81,2021-02-11,9,18,83,
82,2021-02-12,5,7,40,
83,2021-02-13,1,12,30,
84,2021-02-14,4,18,58,
85,2021-02-15,6,21,39,
86,2021-02-16,6,23,55,
87,2021-02-17,26,83,152,1.0
88,2021-02-18,38,98,145,1.0
89,2021-02-19,38,79,119,0.0
90,2021-02-20,31,75,97,
91,2021-02-21,13,48,101,
92,2021-02-22,53,128,205,1.0
93,2021-02-24,76,96,205,0.0
94,2021-02-25,41,100,154,1.0
95,2021-02-26,81,128,159,0.0
96,2021-02-27,49,87,114,
97,2021-02-28,40,41,99,
98,2021-03-01,29,61,133,
99,2021-03-02,89,104,192,0.0
100,2021-03-03,49,54,146,1.0
101,2021-03-04,94,75,143,0.0
102,2021-03-05,63,67,134,0.0
103,2021-03-06,29,49,89,
104,2021-03-07,38,59,102,
105,2021-03-08,38,56,96,0.0
106,2021-03-09,92,127,159,1.0
107,2021-03-10,51,94,176,1.0
108,2021-03-11,53,90,185,1.0
109,2021-03-12,32,56,128,1.0
110,2021-03-13,22,58,127,
111,2021-03-14,29,46,90,
112,2021-03-15,38,66,117,0.0
113,2021-03-16,66,103,219,1.0
114,2021-03-17,44,101,171,0.0
115,2021-03-18,58,111,206,1.0
116,2021-03-19,59,116,207,0.0
117,2021-03-20,39,35,156,
118,2021-03-21,43,63,173,
119,2021-03-22,54,115,212,1.0
