text,label,raw_outputs,probability
推廣區填完我加你,2,[-1.6015625  -0.796875    2.40820312],0.9445605498064215
你是哪間分公司的哈哈我看看有沒有一樣,2,[-2.7734375  -1.62890625  4.5       ],0.997135542571713
建成喔,2,[-2.1796875   0.44482422  0.83886719],0.58031674141158
搞不懂一堆人看籌碼看技術到底賺了多少…,2,[-2.31835938 -1.44238281  3.84375   ],0.9928819322502874
想問大家說因為0050價格比較高因此如果都選擇買006208推薦嗎,1,[-1.84277344  0.56689453  0.38574219],0.5197090920276382
這兩支的報酬差不多你用一樣的錢去買價值是一樣的就跟100塊買一股50塊買兩股漲跌30％得到的損益一樣會選擇6208應該是因為內扣少一點吧不會很奇怪~,2,[-2.0703125  -1.23730469  2.875     ],0.9770522726160674
定期定額啦,2,[-2.28515625 -0.07421875  1.74511719],0.8475274027987336
?,2,[-2.70507812 -1.57421875  4.5390625 ],0.9970809216120056
請問20是？？？,2,[-2.875      -1.51953125  4.4140625 ],0.9966791515279956
?,2,[-2.70507812 -1.57421875  4.5390625 ],0.9970809216120056
上市那天就可以先賣一波了你們這些小傻,0,[ 2.95898438 -1.44140625 -0.11083984],0.9445529825396849
富邦半導體00892這檔ETF選股不錯，前景看起來很適合長期持有穩定買入,1,[-2.49804688  3.609375   -2.91796875],0.9963243904047966
之前看很多大神分析真的覺得這支還不錯買了四張有考慮繼續買進~~,1,[-2.6484375   3.69921875 -2.85546875],0.9968357706345706
存股本身就是一場耐力賽00892這支成分股很不錯啊定期加碼很OK,1,[-2.56054688  3.71289062 -2.93164062],0.9968232703827357
一針見血，心態真的好重要啊🥲,2,[-2.56445312 -1.57714844  4.2109375 ],0.9958122455822536
你的怎麼那麼早就可以領啊？？的通知單上面寫6/27餒？！,2,[-2.40039062 -1.55273438  4.37890625],0.9962231207821605
通知單上面騙人的啦妳如果是中鴻不是中鋼趕快打電話去問我那時候去問就說只發到12號批踢踢上面一堆人都領了,2,[-1.1875     -1.66113281  3.63085938],0.9870579345390535
真假？！那要怎麼知道真正領紀念品的日子啊？,2,[-2.46679688 -1.72753906  4.578125  ],0.9973095001144044
請問-16是怎麼算來的？,2,[-2.57226562 -1.5703125   4.5625    ],0.9970413988306907
手續費吧？,2,[-2.72265625 -1.68554688  4.484375  ],0.9971752476555167
手續費最低20應該是手續費問題,2,[-2.47851562 -1.64355469  4.60546875],0.9972368897847869
證交稅啦零股手續最低1元不是20,2,[-2.13867188 -1.55371094  3.80078125],0.9926934400684185
謝謝,2,[-2.92578125 -1.34082031  4.2109375 ],0.9953457756827809
一筆單金額最好超過1000喔不然太低手續費會吃掉很多獲利,2,[-2.30859375 -1.53515625  4.203125  ],0.995315822772729
各位前輩，我知道這個上網就查的到但是還是想要再去確認一下上禮拜五6/11號購買股票扣款日為T+2但今天端午放假是否扣款日為星期三6/16號呢求幫忙!!!!!!,2,[-1.71679688 -1.63183594  3.97070312],0.9929731864793042
你的證券app裡面應該查得到吧,2,[-2.73828125 -1.59082031  4.31640625],0.9964297206661075
請問是看「交割金額試算」的交割日為準嗎?因為一直被問到，有點害怕算錯TT那就是6/16號早上十點扣款對嗎?,2,[-2.32617188 -1.671875    4.45703125],0.9966993265342279
遇到假日的話交割日會順延ㄛ,2,[-2.00390625 -1.24804688  3.34375   ],0.9853246496838868
謝謝你!!,2,[-2.92578125 -1.26660156  4.16015625],0.9947931337488021
瓶蓋營收創新高，亂空小心變燃料,1,[-2.35546875  2.60351562 -2.13671875],0.9844877685755384
我明天做多,1,[-2.60546875  3.7890625  -2.9453125 ],0.9971481691015744
真的嗎？,2,[-2.45703125 -1.38671875  4.28125   ],0.9953818686363539
我要空他,0,[ 3.9140625  -1.28320312 -1.30957031],0.9891985548262868
他怎麼了?,2,[-2.65039062 -1.53515625  4.54296875],0.9969652068930949
飛哥概念股心臟大顆200,1,[-2.41015625  1.23046875 -0.0682373 ],0.7697514741910335
什麼是飛哥？,2,[-2.91015625 -0.61474609  3.0390625 ],0.97228954899941
我也要空他讚讚一起賺,0,[ 1.54199219  0.60205078 -1.20800781],0.6874843407635205
這個稍微查一下就知道了喔，而且它訂單滿到年底欸，要空也等漲高一點吧…,1,[-0.53955078  0.96972656 -1.3046875 ],0.7553287482327321
很多業績好的照樣跌,0,[ 5.19140625 -2.46289062 -1.32519531],0.9980511167529341
面板目前差不多是這樣，但IC設計Q3是傳統旺季，瓶蓋也是Q3，所以差不多會在這時候動，驊訊籌碼面不算好，但我認為還會有一小波漲勢，畢竟6月營收應該也很好，加上電子股發動第一棒幾乎都是IC設計（半導體產業鏈上游），如果聯發科、瑞昱、天鈺、敦泰都不弱至少我現在不會想去空IC設計，要空等驊訊跌破季線再說,1,[-1.921875    2.6875     -2.78710938],0.9860475204553061
各位怎麼看這支00893國泰智能電動車ETF這支號稱投資全球最純的電動車產業100%聚焦電動車上、中、下游專門投資國外電動車個人是覺得好像蠻有潛力因為電動車一定是未來的趨勢每年電動車的數量在各個國家都是明顯上升的但是考量到投資國外的ETF可能管理費會很高獲利應該會被吃不少想來和大家討論一下這支各位有什麼想法嗎🤔,1,[-2.31054688  1.10253906 -0.15966797],0.7598968521545288
明天募集非掛牌,2,[-1.64160156 -1.09667969  3.16015625],0.9781076517820928
感謝糾正已修改,2,[-2.56640625 -1.44726562  4.41015625],0.9962222151259053
個人不建議！以特斯拉為主！從周邊晶片廠來長期比較好！,2,[-1.78808594  0.20690918  0.72167969],0.5956192132571502
就目前大盤走強勁單波反彈格局但類股中，最強勢的族群就運輸指數中的海運而且到今日為止，三雄還是完全沒看到形態上的破綻接下來操作貨櫃三雄、鋼鐵、電子股要注意什麼？注意大盤不要出現影片中的形態！我錄了一個影片，有需要的看一下我發現有的人操作想法很單純只有單一的想法與單一的方向巴菲特每筆交易都賺錢嗎？但巴佬是不是投資界最長勝也累積最多財富的人？真正的贏家並不是100%勝率，而是只要大賺小賠就能「穩定」、且「長期」累積財富,2,[-2.4921875  -0.02571106  1.75097656],0.8449087635929021
如果這些都沒搞頭那是什麼有搞頭紡織？水泥？電器電纜？金融？不是吧大大,2,[-1.59667969 -1.78710938  4.2734375 ],0.9948707774054955
主流類股還是落在航運與電子尤其目前形態上沒有被破壞的大致只有貨櫃運但是主要是萬一大盤落入跌勢各種類股都會被拖累覆巢之下復有完卵乎只要影片中的那三個支撐沒有陸續被破是都還有搞頭的,0,[ 2.92773438 -0.65771484 -0.91552734],0.9531545325371708
沒錯我自己是認為航運一定會上漲但是我已經持有航運了所以就先放在那邊不過我想問問版主覺得IC設計可不可以進場了？最近在看普誠這檔想問一下版主的想法,0,[ 1.33007812  0.21081543 -0.83203125],0.6936724619250805
普誠現在如果進場價格會與需要設定停損點略遠要是我不會選擇這檔,2,[-0.18847656 -1.51757812  2.63671875],0.9302378381536018
了解因為我看到他的好朋友天鈺敦泰翻過均線後一路往上不回頭所以在研究他不過他前面也很多賣壓沒消化就是了,0,[ 1.55566406 -0.00230789  0.0234375 ],0.700959108431377
那國喬大大怎麼看呢！塑膠放到年底應該也有一點波段可以賺的感覺！,1,[-3.28710938  3.05664062 -1.81542969],0.9906726250933449
陽明法人目標140！均直線都往上，不太可能跌回去！個人建議,1,[-2.35546875  3.31640625 -2.80273438],0.9943898981482372
