text,label,raw_outputs,probability
從9／6寫完被動元件就大幅回檔，深不見底，連國巨都改口：保守看待第四季，可見晶片、電阻需求都沒那麼好了，終端需求疲弱,0,[ 3.15429688 -0.92333984 -0.88818359],0.966649297611944
繼續記錄...最強勢的美股也開始輪跌  而這股 ETF 籌碼會不會影響到日本?日央對於持股滿檔的 ETF 要怎麼解決? 日後會不會有驚人的事件出現?沒有用不完的籌碼? 當主要幾個國家央銀都把籌碼用完了...試問? 下次風暴來臨時? 還要拿什麼來補這個洞?各位投資朋友  一定要做好資金控管  風險控管  尤其是有玩衍生性金融商品的人..錢沒了是小事  不要日後背了一堆屁股債  那才真是要人命...,0,[ 1.11328125 -0.32299805  1.00097656],0.4691349471945154
該來的還是來了，遭受貿易戰波及的電子股，首當其衝腰斬再腰斬，真的以為其他類股能抱得安穩?尤其金融股還幫台股撐指數，真的太明顯了，等電子股摔完，恐輪到其他股票接棒，難道這就是名符其實的台股崩盤,0,[ 2.81835938 -0.2565918  -1.26757812],0.9407344282872354
YA!偶終於搶到頭香了，雙十節是偶的幸運日..,1,[-0.87695312  1.28027344 -1.7265625 ],0.8583003612222252
今晚美股續跌，跌成這樣！哥我也想賣掉手上的電子持股了。,0,[ 5.14453125 -2.40820312 -1.32324219],0.9979269539138761
搶到前十!!!!來不及跑，不然我也想跑~,0,[ 4.7890625  -2.1328125  -1.37695312],0.9969239270359921
歐耶，搖滾區耶，媽呀，我在這,2,[-1.48144531 -0.15100098  1.64746094],0.8269116973100229
美股也給足了台灣面子，國慶日過完才繼續大跌。樓主抱緊處理啊,0,[ 1.66308594  0.78027344 -1.46191406],0.6860805002765433
有搖滾區????151515151515,2,[-1.72753906 -1.6953125   4.40625   ],0.9956116273580011
美股跌350點了，不知台股如何？1515,0,[ 4.09375    -1.93359375 -0.47802734],0.987409093937073
美股又重挫250點....天佑台灣,0,[ 5.1171875  -2.41796875 -1.22363281],0.9977084299804874
歐硬拉,1,[-2.6171875   3.91210938 -2.91210938],0.9974593145246444
我也來搶頭香了，只搶到尾香，這次應該跌到板10300點,0,[ 3.81445312 -1.16601562 -1.2578125 ],0.9870313518944409
剛過完生日😂,0,[ 2.109375   -0.24829102 -0.453125  ],0.8534224891806339
美股狂跌。台股狂殺都嚇不到歐硬哥。選股能力超強。跌快700點。虧損小增很多酸葡萄在酸歐硬哥選股差能力差。但大浪退去才發現誰在裸泳。歐硬哥。毅力不搖、艱忍不曲的精神真令人佩服有神快拜。,1,[-0.90429688  1.58789062 -2.06835938],0.902072790933425
金融一定會補跌 一個都跑不掉,0,[ 4.2890625  -1.47949219 -1.43359375],0.9936453591816619
今天摩台指日盤+夜盤的跌幅，就是明日台股的跌幅，絕對正相關。,0,[ 4.         -1.91503906 -0.55126953],0.9869209759448758
台股安啦8k 大 再次 歐硬 撐台股 ~,1,[-2.56835938  3.73242188 -2.9296875 ],0.9968963451384364
陳大應該不是開玩笑的吧？因為在此樓發文，真假難辨。哈哈,2,[-2.52148438 -1.50488281  4.5546875 ],0.9968296770110152
8k大出神諭，明天準備反彈了！,1,[-2.58789062  3.88671875 -2.98632812],0.9974292070373239
f大 我真心覺得金融一定會補跌但是我手上的股票不會賣 原因是這些是退休用的 不受股價高低買賣 近期研究大盤指數 是等待機會加碼,1,[-2.2578125   2.41015625 -2.37890625],0.982596660384178
問題是政府為了選舉 ，不太可能坐視不管不是有放消息已經撥了四百億給代操了嗎???雖然沒很多可是至少可以減緩跌勢而且為了選舉 ，明天應該還是會努力狂拉的所以安心睡覺吧明天應該是開低走高V轉的走勢,1,[-2.9453125   1.99414062 -0.87304688],0.9398344940645162
太好了 八千大看空了這是所有因素中最重要的號稱東方神秘力量!!!!!!!!!!!!!!!!明天怒漲兩百點請八千大續看空!!!!!!!!!!!!!!!!!!!!!!,0,[ 2.08203125  0.22961426 -0.78955078],0.8240851189548671
台股都是全球一枝獨秀領漲的，雖然美股大跌，對台股而言有勞退基金/國安基金的護盤，全力力阻下跌，不用擔心啦﹗,1,[-0.91845703  2.19140625 -2.84375   ],0.951373189810128
8K要使出眼不見為凈大法了嗎？還是小跌小買？大跌大買？,1,[-1.82421875  0.73828125  0.16894531],0.6086379748147239
看來明天要漲了，電子股補漲，8K大出明牌,1,[-2.49609375  3.78320312 -2.96875   ],0.9969659203841904
難這次歐美噴不少台灣保守也要噴個百點回應⋯⋯😑,1,[-2.59375  3.78125 -2.9375 ],0.9970967860670381
我看法跟你相同，所以已清倉，您的毅力與定力我非常佩服。,2,[-1.35449219 -0.95019531  2.54492188],0.9518379808763422
