,Date,Week,count_0,count_1,count_2,rate_0,rate_1,rate_2
0,2017-01-01,Sunday,1,2,2,0.2,0.4,0.4
1,2017-01-02,Monday,0,0,7,0.0,0.0,1.0
2,2017-01-03,Tuesday,8,6,11,0.32,0.24,0.44
3,2017-01-04,Wednesday,4,11,7,0.18181818181818182,0.5,0.3181818181818182
4,2017-01-05,Thursday,1,9,16,0.038461538461538464,0.34615384615384615,0.6153846153846154
5,2017-01-06,Friday,1,0,2,0.3333333333333333,0.0,0.6666666666666666
6,2017-01-07,Saturday,0,0,1,0.0,0.0,1.0
7,2017-01-08,Sunday,2,4,30,0.05555555555555555,0.1111111111111111,0.8333333333333334
8,2017-01-09,Monday,12,6,49,0.1791044776119403,0.08955223880597014,0.7313432835820896
9,2017-01-10,Tuesday,6,6,28,0.15,0.15,0.7
10,2017-01-11,Wednesday,0,2,4,0.0,0.3333333333333333,0.6666666666666666
11,2017-01-12,Thursday,1,1,3,0.2,0.2,0.6
12,2017-01-13,Friday,3,5,0,0.375,0.625,0.0
13,2017-01-14,Saturday,3,16,15,0.08823529411764706,0.47058823529411764,0.4411764705882353
14,2017-01-15,Sunday,6,13,25,0.13636363636363635,0.29545454545454547,0.5681818181818182
15,2017-01-16,Monday,2,4,11,0.11764705882352941,0.23529411764705882,0.6470588235294118
16,2017-01-17,Tuesday,2,7,12,0.09523809523809523,0.3333333333333333,0.5714285714285714
17,2017-01-18,Wednesday,4,8,6,0.2222222222222222,0.4444444444444444,0.3333333333333333
18,2017-01-19,Thursday,10,14,27,0.19607843137254902,0.27450980392156865,0.5294117647058824
19,2017-01-20,Friday,4,23,14,0.0975609756097561,0.5609756097560976,0.34146341463414637
20,2017-01-21,Saturday,0,5,7,0.0,0.4166666666666667,0.5833333333333334
21,2017-01-22,Sunday,1,2,0,0.3333333333333333,0.6666666666666666,0.0
22,2017-01-23,Monday,1,9,12,0.045454545454545456,0.4090909090909091,0.5454545454545454
23,2017-01-24,Tuesday,7,14,15,0.19444444444444445,0.3888888888888889,0.4166666666666667
24,2017-01-25,Wednesday,0,1,3,0.0,0.25,0.75
