,Unnamed: 0,Date,count_0,count_1,count_2,status
2,2,2017-01-03,9,8,20,1.0
3,3,2017-01-04,4,11,7,1.0
4,4,2017-01-05,1,9,16,1.0
5,5,2017-01-06,1,0,2,1.0
8,8,2017-01-09,14,10,80,0.0
9,9,2017-01-10,6,6,28,1.0
10,10,2017-01-11,0,2,4,0.0
11,11,2017-01-12,1,1,3,1.0
12,12,2017-01-13,3,5,0,0.0
15,15,2017-01-16,11,33,51,0.0
16,16,2017-01-17,2,7,12,1.0
17,17,2017-01-18,4,8,6,0.0
18,18,2017-01-19,10,14,27,0.0
19,19,2017-01-20,4,23,14,1.0
22,22,2017-01-23,2,16,19,1.0
23,23,2017-01-24,7,14,15,1.0
30,30,2017-02-02,6,17,42,0.0
31,31,2017-02-03,2,3,6,1.0
34,34,2017-02-06,17,19,79,1.0
35,35,2017-02-07,1,1,6,1.0
36,36,2017-02-08,2,3,13,0.0
37,37,2017-02-09,5,18,32,1.0
38,38,2017-02-10,6,13,39,1.0
41,41,2017-02-13,11,15,147,1.0
42,42,2017-02-14,2,3,20,1.0
43,43,2017-02-15,3,7,5,1.0
44,44,2017-02-16,1,3,3,0.0
45,45,2017-02-17,0,1,1,0.0
48,48,2017-02-20,6,12,19,0.0
49,49,2017-02-21,3,5,29,1.0
50,50,2017-02-22,3,4,24,1.0
51,51,2017-02-23,1,2,32,0.0
52,52,2017-02-24,4,3,15,0.0
57,57,2017-03-01,9,22,23,0.0
58,58,2017-03-02,7,8,31,1.0
59,59,2017-03-03,8,7,15,0.0
62,62,2017-03-06,7,8,9,1.0
63,63,2017-03-07,4,3,1,1.0
64,64,2017-03-08,4,13,20,1.0
65,65,2017-03-09,2,6,3,0.0
66,66,2017-03-10,5,6,8,0.0
69,69,2017-03-13,4,13,72,1.0
70,70,2017-03-14,0,7,6,1.0
71,71,2017-03-15,0,6,14,0.0
72,72,2017-03-16,3,14,72,1.0
73,73,2017-03-17,3,8,17,1.0
76,76,2017-03-20,14,45,109,1.0
77,77,2017-03-21,2,3,5,1.0
78,78,2017-03-22,3,5,13,0.0
79,79,2017-03-23,8,6,26,1.0
80,80,2017-03-24,3,3,12,0.0
83,83,2017-03-27,1,7,19,0.0
84,84,2017-03-28,4,0,13,0.0
85,85,2017-03-29,2,4,13,0.0
86,86,2017-03-30,2,6,15,0.0
87,87,2017-03-31,0,7,7,0.0
92,92,2017-04-05,15,9,68,1.0
93,93,2017-04-06,2,3,8,0.0
94,94,2017-04-07,2,1,5,0.0
97,97,2017-04-10,1,4,60,1.0
98,98,2017-04-11,3,2,16,0.0
99,99,2017-04-12,1,7,17,0.0
100,100,2017-04-13,7,4,2,1.0
101,101,2017-04-14,0,3,3,0.0
103,103,2017-04-17,1,2,6,0.0
104,104,2017-04-18,1,2,6,1.0
105,105,2017-04-19,3,13,47,0.0
106,106,2017-04-20,6,10,23,0.0
107,107,2017-04-21,2,3,5,1.0
110,110,2017-04-24,4,11,35,1.0
111,111,2017-04-25,1,2,5,1.0
112,112,2017-04-26,0,1,3,1.0
113,113,2017-04-27,0,1,4,1.0
114,114,2017-04-28,0,2,8,1.0
118,118,2017-05-02,9,33,49,1.0
119,119,2017-05-03,3,2,15,1.0
120,120,2017-05-04,2,4,10,1.0
121,121,2017-05-05,9,4,32,0.0
124,124,2017-05-08,3,25,62,1.0
125,125,2017-05-09,0,1,3,0.0
126,126,2017-05-10,0,1,0,1.0
127,127,2017-05-11,3,8,8,1.0
128,128,2017-05-12,0,7,16,0.0
131,131,2017-05-15,6,38,201,1.0
132,132,2017-05-16,1,0,13,0.0
133,133,2017-05-17,0,2,13,0.0
134,134,2017-05-18,6,8,41,0.0
135,135,2017-05-19,8,13,45,0.0
138,138,2017-05-22,10,22,53,1.0
139,139,2017-05-23,2,9,11,1.0
140,140,2017-05-24,1,4,6,1.0
141,141,2017-05-25,3,5,3,1.0
142,142,2017-05-26,1,8,2,0.0
147,147,2017-05-31,10,26,48,0.0
148,148,2017-06-01,3,9,20,1.0
149,149,2017-06-02,14,16,52,1.0
152,152,2017-06-05,7,13,28,1.0
153,153,2017-06-06,1,5,5,0.0
154,154,2017-06-07,1,0,4,1.0
155,155,2017-06-08,2,4,6,1.0
156,156,2017-06-09,3,0,7,0.0
159,159,2017-06-12,6,3,17,0.0
160,160,2017-06-13,2,6,6,1.0
161,161,2017-06-14,1,3,7,0.0
162,162,2017-06-15,2,3,0,1.0
163,163,2017-06-16,4,5,12,1.0
166,166,2017-06-19,8,39,57,1.0
167,167,2017-06-20,3,17,22,1.0
168,168,2017-06-21,7,6,19,1.0
169,169,2017-06-22,3,8,8,1.0
170,170,2017-06-23,4,5,23,0.0
173,173,2017-06-26,8,14,61,1.0
174,174,2017-06-27,4,7,28,0.0
175,175,2017-06-28,4,5,10,0.0
176,176,2017-06-29,4,6,20,1.0
177,177,2017-06-30,3,6,14,0.0
180,180,2017-07-03,5,11,23,1.0
181,181,2017-07-04,3,12,26,0.0
182,182,2017-07-05,2,4,5,1.0
183,183,2017-07-06,3,3,6,0.0
184,184,2017-07-07,5,14,32,0.0
187,187,2017-07-10,15,25,65,0.0
188,188,2017-07-11,1,5,4,1.0
189,189,2017-07-12,1,1,6,1.0
190,190,2017-07-13,0,2,4,1.0
191,191,2017-07-14,1,0,1,0.0
194,194,2017-07-17,5,16,11,1.0
195,195,2017-07-18,3,5,18,1.0
196,196,2017-07-19,5,7,27,1.0
197,197,2017-07-20,4,4,19,0.0
198,198,2017-07-21,3,5,4,0.0
200,200,2017-07-24,2,4,6,1.0
201,201,2017-07-25,1,4,10,1.0
202,202,2017-07-26,0,2,6,0.0
203,203,2017-07-27,10,15,25,1.0
204,204,2017-07-28,4,12,18,0.0
207,207,2017-07-31,12,21,83,1.0
208,208,2017-08-01,4,9,11,1.0
209,209,2017-08-02,1,8,8,1.0
210,210,2017-08-03,0,1,5,0.0
211,211,2017-08-04,0,5,5,1.0
214,214,2017-08-07,1,2,6,1.0
215,215,2017-08-08,0,2,4,0.0
216,216,2017-08-09,0,6,7,0.0
217,217,2017-08-10,2,4,10,0.0
218,218,2017-08-11,2,2,10,0.0
221,221,2017-08-14,22,21,64,0.0
222,222,2017-08-15,12,11,18,1.0
223,223,2017-08-16,5,1,4,0.0
224,224,2017-08-17,1,8,3,1.0
225,225,2017-08-18,8,13,20,0.0
228,228,2017-08-21,5,13,25,1.0
229,229,2017-08-22,7,10,48,1.0
230,230,2017-08-23,2,1,13,1.0
231,231,2017-08-24,3,6,14,1.0
232,232,2017-08-25,1,6,10,1.0
235,235,2017-08-28,3,17,51,1.0
236,236,2017-08-29,6,16,15,0.0
