,Date,count_0,count_1,count_2,status
0,2017-01-01,3,7,8,
1,2017-01-02,5,13,25,
2,2017-01-03,14,24,90,1.0
3,2017-01-04,4,11,10,1.0
4,2017-01-05,4,2,7,1.0
5,2017-01-06,5,4,11,1.0
6,2017-01-07,0,0,1,
7,2017-01-09,0,0,3,0.0
8,2017-01-11,2,0,3,0.0
9,2017-01-12,3,4,5,1.0
10,2017-01-13,13,7,21,0.0
11,2017-01-14,2,3,9,
12,2017-01-15,4,1,18,
13,2017-01-16,0,0,1,0.0
14,2017-01-17,11,11,17,1.0
15,2017-01-18,0,2,0,0.0
16,2017-01-19,5,3,8,0.0
17,2017-01-20,3,6,12,1.0
18,2017-01-21,9,10,30,
19,2017-01-22,2,0,25,
20,2017-01-23,2,2,25,1.0
21,2017-01-24,4,13,22,1.0
22,2017-01-25,11,10,6,
23,2017-01-26,10,6,16,
24,2017-01-27,9,8,57,
25,2017-01-28,3,8,7,
26,2017-01-29,0,1,0,
27,2017-01-31,4,2,8,
28,2017-02-01,1,0,2,
29,2017-02-02,0,2,13,0.0
30,2017-02-03,1,3,2,1.0
31,2017-02-04,4,8,20,
32,2017-02-05,0,0,3,
33,2017-02-06,3,7,34,1.0
34,2017-02-07,2,4,14,1.0
35,2017-02-08,12,52,101,0.0
36,2017-02-09,22,19,45,1.0
37,2017-02-10,15,26,49,1.0
38,2017-02-11,4,8,21,
39,2017-02-12,1,2,42,
40,2017-02-13,29,32,187,1.0
41,2017-02-14,12,14,46,1.0
42,2017-02-15,4,26,15,1.0
43,2017-02-16,4,15,42,0.0
44,2017-02-17,9,20,31,0.0
45,2017-02-18,21,16,44,
46,2017-02-19,15,28,45,
47,2017-02-20,66,49,83,0.0
48,2017-02-21,4,1,6,1.0
49,2017-02-22,10,8,35,1.0
50,2017-02-23,2,4,23,0.0
51,2017-02-24,14,13,32,0.0
52,2017-02-25,21,25,62,
53,2017-02-26,3,6,40,
54,2017-02-27,13,12,39,
55,2017-02-28,4,5,16,
56,2017-03-01,2,1,14,0.0
57,2017-03-02,26,33,62,1.0
58,2017-03-03,14,10,38,0.0
59,2017-03-04,6,12,35,
60,2017-03-05,1,3,16,
61,2017-03-06,0,0,3,1.0
62,2017-03-07,18,11,52,1.0
63,2017-03-08,7,5,47,1.0
64,2017-03-09,0,2,9,0.0
65,2017-03-10,15,30,67,0.0
66,2017-03-11,5,13,28,
67,2017-03-12,0,1,5,
68,2017-03-13,2,3,14,1.0
69,2017-03-14,163,237,130,1.0
70,2017-03-15,3,4,11,0.0
71,2017-03-16,4,7,11,1.0
72,2017-03-17,5,6,17,1.0
73,2017-03-18,15,7,40,
74,2017-03-19,3,1,12,
75,2017-03-20,21,32,182,1.0
76,2017-03-21,14,26,66,1.0
77,2017-03-22,0,4,4,0.0
78,2017-03-23,25,18,19,1.0
79,2017-03-24,4,9,23,0.0
80,2017-03-25,6,2,6,
81,2017-03-26,2,2,9,
82,2017-03-27,2,1,6,0.0
83,2017-03-28,7,8,23,0.0
84,2017-03-29,13,4,12,0.0
85,2017-03-30,4,5,27,0.0
86,2017-03-31,4,1,9,0.0
87,2017-04-02,1,0,1,
88,2017-04-03,7,23,62,
89,2017-04-04,4,3,6,
90,2017-04-05,1,2,2,1.0
91,2017-04-06,9,7,83,0.0
92,2017-04-07,4,12,42,0.0
93,2017-04-09,0,0,2,
94,2017-04-10,20,27,77,1.0
95,2017-04-11,2,3,20,0.0
96,2017-04-12,3,1,103,0.0
97,2017-04-13,7,8,50,1.0
98,2017-04-15,7,1,7,
99,2017-04-17,25,28,165,0.0
100,2017-04-18,2,2,10,1.0
101,2017-04-19,7,17,34,0.0
102,2017-04-20,11,28,136,0.0
103,2017-04-21,13,15,36,1.0
104,2017-04-22,11,3,9,
105,2017-04-23,8,17,129,
106,2017-04-24,3,4,10,1.0
107,2017-04-25,2,2,12,1.0
108,2017-04-26,30,57,101,1.0
109,2017-04-27,4,5,70,1.0
110,2017-04-28,0,0,2,1.0
111,2017-04-29,0,3,1,
112,2017-04-30,21,21,48,
113,2017-05-01,5,7,27,
114,2017-05-02,1,1,3,1.0
115,2017-05-03,23,17,98,1.0
116,2017-05-04,39,28,318,1.0
117,2017-05-05,2,1,8,0.0
118,2017-05-06,0,0,1,
119,2017-05-07,0,1,3,
120,2017-05-08,15,20,30,1.0
121,2017-05-09,362,209,210,0.0
122,2017-05-10,12,28,113,1.0
123,2017-05-11,194,208,262,1.0
124,2017-05-12,8,25,18,0.0
125,2017-05-13,10,13,54,
126,2017-05-14,1,1,12,
127,2017-05-15,1,5,17,1.0
128,2017-05-16,7,8,36,0.0
129,2017-05-17,9,4,8,0.0
130,2017-05-18,29,27,25,0.0
131,2017-05-19,1,3,5,0.0
132,2017-05-21,2,3,7,
133,2017-05-22,4,2,100,1.0
134,2017-05-23,26,37,149,1.0
135,2017-05-24,5,8,9,1.0
136,2017-05-25,8,4,10,1.0
137,2017-05-26,12,15,25,0.0
138,2017-05-27,1,4,1,
139,2017-05-28,9,8,30,
140,2017-05-29,2,0,16,
141,2017-05-30,14,12,274,
142,2017-05-31,28,47,144,0.0
143,2017-06-01,10,13,76,1.0
144,2017-06-02,18,42,60,1.0
145,2017-06-03,12,28,81,
146,2017-06-04,12,7,81,
147,2017-06-05,1,5,14,1.0
148,2017-06-06,0,2,10,0.0
149,2017-06-07,3,0,16,1.0
150,2017-06-08,16,13,61,1.0
151,2017-06-09,0,0,35,0.0
152,2017-06-10,0,0,1,
153,2017-06-11,0,0,1,
154,2017-06-12,2,3,28,0.0
155,2017-06-13,6,0,23,1.0
156,2017-06-15,1,0,63,1.0
157,2017-06-16,1,0,1,1.0
158,2017-06-17,5,7,102,
159,2017-06-18,12,23,56,
160,2017-06-19,3,5,17,1.0
161,2017-06-20,9,10,16,1.0
162,2017-06-21,7,8,5,1.0
163,2017-06-22,5,13,59,1.0
164,2017-06-23,0,0,6,0.0
165,2017-06-24,1,2,7,
166,2017-06-25,0,1,1,
167,2017-06-26,11,13,12,1.0
168,2017-06-28,14,31,35,0.0
169,2017-06-29,8,18,30,1.0
170,2017-06-30,8,11,37,0.0
171,2017-07-01,0,0,2,
172,2017-07-02,0,0,1,
173,2017-07-04,0,0,25,0.0
174,2017-07-05,4,8,13,1.0
175,2017-07-06,6,12,21,0.0
176,2017-07-07,1,1,0,0.0
177,2017-07-08,3,0,23,
178,2017-07-09,4,6,49,
179,2017-07-10,13,26,66,0.0
180,2017-07-11,11,14,34,1.0
181,2017-07-12,23,40,128,1.0
182,2017-07-13,5,1,139,1.0
183,2017-07-14,9,6,41,0.0
184,2017-07-15,11,13,53,
185,2017-07-16,5,4,3,
186,2017-07-17,0,1,0,1.0
187,2017-07-18,0,1,4,1.0
188,2017-07-19,4,14,12,1.0
189,2017-07-20,1,1,0,0.0
190,2017-07-21,0,0,1,0.0
191,2017-07-24,6,19,23,1.0
192,2017-07-25,0,0,1,1.0
193,2017-07-27,10,2,9,1.0
194,2017-07-28,6,26,69,0.0
195,2017-07-29,7,14,17,
196,2017-07-30,16,9,38,
197,2017-07-31,2,3,12,1.0
198,2017-08-01,0,4,6,1.0
199,2017-08-02,3,18,10,1.0
200,2017-08-03,8,16,49,0.0
201,2017-08-04,25,90,98,1.0
202,2017-08-05,7,4,8,
203,2017-08-06,2,1,15,
204,2017-08-07,5,6,62,1.0
205,2017-08-08,3,6,4,0.0
206,2017-08-09,6,8,11,0.0
207,2017-08-10,11,28,23,0.0
208,2017-08-11,30,26,67,0.0
209,2017-08-12,6,12,10,
210,2017-08-13,1,2,1,
211,2017-08-14,189,109,172,0.0
212,2017-08-15,105,76,238,1.0
213,2017-08-16,26,58,74,0.0
214,2017-08-17,1,9,10,1.0
215,2017-08-18,9,7,36,0.0
216,2017-08-19,5,9,7,
217,2017-08-20,0,2,0,
218,2017-08-21,25,45,44,1.0
219,2017-08-22,9,29,11,1.0
220,2017-08-23,3,8,4,1.0
221,2017-08-24,17,30,31,1.0
222,2017-08-25,10,28,29,1.0
223,2017-08-26,16,25,26,
224,2017-08-27,6,11,16,
225,2017-08-28,10,6,9,1.0
226,2017-08-29,38,103,176,0.0
227,2017-08-30,13,27,38,1.0
228,2017-08-31,4,10,17,1.0
229,2017-09-01,3,19,12,1.0
230,2017-09-02,3,1,2,
231,2017-09-03,15,25,105,
232,2017-09-04,10,4,81,0.0
233,2017-09-05,33,87,187,1.0
234,2017-09-06,17,40,33,0.0
235,2017-09-07,53,67,128,0.0
236,2017-09-08,9,14,10,1.0
237,2017-09-09,1,2,1,
238,2017-09-10,2,2,8,
239,2017-09-11,13,34,178,0.0
240,2017-09-12,5,17,57,1.0
241,2017-09-13,4,6,18,0.0
242,2017-09-14,20,11,81,1.0
243,2017-09-15,9,19,25,1.0
244,2017-09-16,2,3,4,
245,2017-09-17,2,0,0,
246,2017-09-18,3,7,19,1.0
247,2017-09-19,9,11,46,0.0
248,2017-09-20,1,2,10,0.0
249,2017-09-21,1,4,10,1.0
250,2017-09-22,13,8,15,0.0
251,2017-09-23,22,44,119,
252,2017-09-24,2,0,8,
253,2017-09-25,26,31,55,0.0
254,2017-09-26,71,45,172,0.0
255,2017-09-27,14,34,40,1.0
256,2017-09-28,5,2,10,0.0
257,2017-09-29,15,9,23,1.0
258,2017-09-30,0,0,2,
259,2017-10-01,0,1,0,
260,2017-10-02,21,23,283,1.0
261,2017-10-03,1,4,11,1.0
262,2017-10-04,2,10,22,
263,2017-10-05,15,24,62,1.0
264,2017-10-06,14,13,46,1.0
265,2017-10-07,2,4,8,
266,2017-10-08,23,11,90,
267,2017-10-09,11,6,74,
268,2017-10-10,13,16,205,
269,2017-10-11,30,27,69,1.0
270,2017-10-12,57,72,200,1.0
271,2017-10-13,5,1,14,1.0
272,2017-10-14,1,1,2,
273,2017-10-16,7,12,18,1.0
274,2017-10-17,3,7,36,0.0
275,2017-10-18,23,20,291,0.0
276,2017-10-19,42,35,185,1.0
277,2017-10-20,7,15,16,0.0
278,2017-10-21,16,15,14,
279,2017-10-22,4,4,23,
280,2017-10-23,83,33,556,1.0
281,2017-10-24,3,0,47,1.0
282,2017-10-27,14,7,8,0.0
283,2017-10-28,3,4,1,
284,2017-10-31,1,0,0,1.0
285,2017-11-03,3,8,14,1.0
286,2017-11-04,3,3,5,
287,2017-11-05,0,1,0,
288,2017-11-06,0,5,47,0.0
289,2017-11-07,1,0,13,1.0
290,2017-11-08,1,0,5,0.0
291,2017-11-09,6,10,16,0.0
292,2017-11-10,4,7,17,0.0
293,2017-11-14,0,0,2,1.0
294,2017-11-17,0,0,1,1.0
295,2017-11-19,0,0,1,
296,2017-11-21,0,0,1,1.0
297,2017-11-22,4,15,18,1.0
298,2017-11-23,0,2,0,1.0
299,2017-11-30,6,7,15,0.0
300,2017-12-01,1,4,50,1.0
301,2017-12-03,0,0,2,
302,2017-12-05,31,40,26,0.0
