,Date,Week,count_0,count_1,count_2,rate_0,rate_1,rate_2
0,2017-01-01,Sunday,3,7,8,0.16666666666666666,0.3888888888888889,0.4444444444444444
1,2017-01-02,Monday,5,13,25,0.11627906976744186,0.3023255813953488,0.5813953488372093
2,2017-01-03,Tuesday,14,24,90,0.109375,0.1875,0.703125
3,2017-01-04,Wednesday,4,11,10,0.16,0.44,0.4
4,2017-01-05,Thursday,4,2,7,0.3076923076923077,0.15384615384615385,0.5384615384615384
5,2017-01-06,Friday,5,4,11,0.25,0.2,0.55
6,2017-01-07,Saturday,0,0,1,0.0,0.0,1.0
7,2017-01-09,Monday,0,0,3,0.0,0.0,1.0
8,2017-01-11,Wednesday,2,0,3,0.4,0.0,0.6
9,2017-01-12,Thursday,3,4,5,0.25,0.3333333333333333,0.4166666666666667
10,2017-01-13,Friday,13,7,21,0.3170731707317073,0.17073170731707318,0.5121951219512195
11,2017-01-14,Saturday,2,3,9,0.14285714285714285,0.21428571428571427,0.6428571428571429
12,2017-01-15,Sunday,4,1,18,0.17391304347826086,0.043478260869565216,0.782608695652174
13,2017-01-16,Monday,0,0,1,0.0,0.0,1.0
14,2017-01-17,Tuesday,11,11,17,0.28205128205128205,0.28205128205128205,0.4358974358974359
15,2017-01-18,Wednesday,0,2,0,0.0,1.0,0.0
16,2017-01-19,Thursday,5,3,8,0.3125,0.1875,0.5
17,2017-01-20,Friday,3,6,12,0.14285714285714285,0.2857142857142857,0.5714285714285714
18,2017-01-21,Saturday,9,10,30,0.1836734693877551,0.20408163265306123,0.6122448979591837
19,2017-01-22,Sunday,2,0,25,0.07407407407407407,0.0,0.9259259259259259
20,2017-01-23,Monday,2,2,25,0.06896551724137931,0.06896551724137931,0.8620689655172413
21,2017-01-24,Tuesday,4,13,22,0.10256410256410256,0.3333333333333333,0.5641025641025641
22,2017-01-25,Wednesday,11,10,6,0.4074074074074074,0.37037037037037035,0.2222222222222222
23,2017-01-26,Thursday,10,6,16,0.3125,0.1875,0.5
24,2017-01-27,Friday,9,8,57,0.12162162162162163,0.10810810810810811,0.7702702702702703
25,2017-01-28,Saturday,3,8,7,0.16666666666666666,0.4444444444444444,0.3888888888888889
26,2017-01-29,Sunday,0,1,0,0.0,1.0,0.0
