,Unnamed: 0,日期,負向數量,正向數量,中立數量,與前日收盤價漲跌
2,2,2017-01-03,22,44,123,1
3,3,2017-01-04,4,11,10,1
4,4,2017-01-05,4,2,7,1
5,5,2017-01-06,5,4,11,1
7,7,2017-01-09,0,0,4,0
8,8,2017-01-11,2,0,3,0
9,9,2017-01-12,3,4,5,1
10,10,2017-01-13,13,7,21,0
13,13,2017-01-16,6,4,28,0
14,14,2017-01-17,11,11,17,1
15,15,2017-01-18,0,2,0,0
16,16,2017-01-19,5,3,8,0
17,17,2017-01-20,3,6,12,1
20,20,2017-01-23,13,12,80,1
21,21,2017-01-24,4,13,22,1
29,29,2017-02-02,38,37,109,0
30,30,2017-02-03,1,3,2,1
33,33,2017-02-06,7,15,57,1
34,34,2017-02-07,2,4,14,1
35,35,2017-02-08,12,52,101,0
36,36,2017-02-09,22,19,45,1
37,37,2017-02-10,15,26,49,1
40,40,2017-02-13,34,42,250,1
41,41,2017-02-14,12,14,46,1
42,42,2017-02-15,4,26,15,1
43,43,2017-02-16,4,15,42,0
44,44,2017-02-17,9,20,31,0
47,47,2017-02-20,102,93,172,0
48,48,2017-02-21,4,1,6,1
49,49,2017-02-22,10,8,35,1
50,50,2017-02-23,2,4,23,0
51,51,2017-02-24,14,13,32,0
56,56,2017-03-01,43,49,171,0
57,57,2017-03-02,26,33,62,1
58,58,2017-03-03,14,10,38,0
61,61,2017-03-06,7,15,54,1
62,62,2017-03-07,18,11,52,1
63,63,2017-03-08,7,5,47,1
64,64,2017-03-09,0,2,9,0
65,65,2017-03-10,15,30,67,0
68,68,2017-03-13,7,17,47,1
69,69,2017-03-14,163,237,130,1
70,70,2017-03-15,3,4,11,0
71,71,2017-03-16,4,7,11,1
72,72,2017-03-17,5,6,17,1
75,75,2017-03-20,39,40,234,1
76,76,2017-03-21,14,26,66,1
77,77,2017-03-22,0,4,4,0
78,78,2017-03-23,25,18,19,1
79,79,2017-03-24,4,9,23,0
82,82,2017-03-27,10,5,21,0
83,83,2017-03-28,7,8,23,0
84,84,2017-03-29,13,4,12,0
85,85,2017-03-30,4,5,27,0
86,86,2017-03-31,4,1,9,0
90,90,2017-04-05,13,28,71,1
91,91,2017-04-06,9,7,83,0
92,92,2017-04-07,4,12,42,0
94,94,2017-04-10,20,27,79,1
95,95,2017-04-11,2,3,20,0
96,96,2017-04-12,3,1,103,0
97,97,2017-04-13,7,8,50,1
99,99,2017-04-17,32,29,172,0
100,100,2017-04-18,2,2,10,1
101,101,2017-04-19,7,17,34,0
102,102,2017-04-20,11,28,136,0
103,103,2017-04-21,13,15,36,1
106,106,2017-04-24,22,24,148,1
107,107,2017-04-25,2,2,12,1
108,108,2017-04-26,30,57,101,1
109,109,2017-04-27,4,5,70,1
110,110,2017-04-28,0,0,2,1
114,114,2017-05-02,27,32,79,1
115,115,2017-05-03,23,17,98,1
116,116,2017-05-04,39,28,318,1
117,117,2017-05-05,2,1,8,0
120,120,2017-05-08,15,21,34,1
121,121,2017-05-09,362,209,210,0
122,122,2017-05-10,12,28,113,1
123,123,2017-05-11,194,208,262,1
124,124,2017-05-12,8,25,18,0
127,127,2017-05-15,12,19,83,1
128,128,2017-05-16,7,8,36,0
129,129,2017-05-17,9,4,8,0
130,130,2017-05-18,29,27,25,0
131,131,2017-05-19,1,3,5,0
133,133,2017-05-22,6,5,107,1
134,134,2017-05-23,26,37,149,1
135,135,2017-05-24,5,8,9,1
136,136,2017-05-25,8,4,10,1
137,137,2017-05-26,12,15,25,0
142,142,2017-05-31,54,71,465,0
143,143,2017-06-01,10,13,76,1
144,144,2017-06-02,18,42,60,1
147,147,2017-06-05,25,40,176,1
148,148,2017-06-06,0,2,10,0
149,149,2017-06-07,3,0,16,1
150,150,2017-06-08,16,13,61,1
151,151,2017-06-09,0,0,35,0
154,154,2017-06-12,2,3,30,0
155,155,2017-06-13,6,0,23,1
156,156,2017-06-15,1,0,63,1
157,157,2017-06-16,1,0,1,1
160,160,2017-06-19,20,35,175,1
161,161,2017-06-20,9,10,16,1
162,162,2017-06-21,7,8,5,1
163,163,2017-06-22,5,13,59,1
164,164,2017-06-23,0,0,6,0
167,167,2017-06-26,12,16,20,1
168,168,2017-06-28,14,31,35,0
169,169,2017-06-29,8,18,30,1
170,170,2017-06-30,8,11,37,0
173,173,2017-07-04,0,0,28,0
174,174,2017-07-05,4,8,13,1
175,175,2017-07-06,6,12,21,0
176,176,2017-07-07,1,1,0,0
179,179,2017-07-10,20,32,138,0
180,180,2017-07-11,11,14,34,1
181,181,2017-07-12,23,40,128,1
182,182,2017-07-13,5,1,139,1
183,183,2017-07-14,9,6,41,0
186,186,2017-07-17,16,18,56,1
187,187,2017-07-18,0,1,4,1
188,188,2017-07-19,4,14,12,1
189,189,2017-07-20,1,1,0,0
190,190,2017-07-21,0,0,1,0
191,191,2017-07-24,6,19,23,1
192,192,2017-07-25,0,0,1,1
193,193,2017-07-27,10,2,9,1
194,194,2017-07-28,6,26,69,0
197,197,2017-07-31,25,26,67,1
198,198,2017-08-01,0,4,6,1
199,199,2017-08-02,3,18,10,1
200,200,2017-08-03,8,16,49,0
201,201,2017-08-04,25,90,98,1
204,204,2017-08-07,14,11,85,1
205,205,2017-08-08,3,6,4,0
206,206,2017-08-09,6,8,11,0
207,207,2017-08-10,11,28,23,0
208,208,2017-08-11,30,26,67,0
211,211,2017-08-14,196,123,183,0
212,212,2017-08-15,105,76,238,1
213,213,2017-08-16,26,58,74,0
214,214,2017-08-17,1,9,10,1
215,215,2017-08-18,9,7,36,0
218,218,2017-08-21,30,56,51,1
219,219,2017-08-22,9,29,11,1
220,220,2017-08-23,3,8,4,1
221,221,2017-08-24,17,30,31,1
222,222,2017-08-25,10,28,29,1
225,225,2017-08-28,32,42,51,1
226,226,2017-08-29,38,103,176,0
227,227,2017-08-30,13,27,38,1
228,228,2017-08-31,4,10,17,1
229,229,2017-09-01,3,19,12,1
232,232,2017-09-04,28,30,188,0
233,233,2017-09-05,33,87,187,1
234,234,2017-09-06,17,40,33,0
235,235,2017-09-07,53,67,128,0
236,236,2017-09-08,9,14,10,1
239,239,2017-09-11,16,38,187,0
240,240,2017-09-12,5,17,57,1
241,241,2017-09-13,4,6,18,0
242,242,2017-09-14,20,11,81,1
243,243,2017-09-15,9,19,25,1
246,246,2017-09-18,7,10,23,1
247,247,2017-09-19,9,11,46,0
248,248,2017-09-20,1,2,10,0
249,249,2017-09-21,1,4,10,1
250,250,2017-09-22,13,8,15,0
253,253,2017-09-25,50,75,182,0
254,254,2017-09-26,71,45,172,0
255,255,2017-09-27,14,34,40,1
256,256,2017-09-28,5,2,10,0
257,257,2017-09-29,15,9,23,1
260,260,2017-10-02,21,24,285,1
261,261,2017-10-03,1,4,11,1
263,263,2017-10-05,17,34,84,1
264,264,2017-10-06,14,13,46,1
269,269,2017-10-11,79,64,446,1
270,270,2017-10-12,57,72,200,1
271,271,2017-10-13,5,1,14,1
273,273,2017-10-16,8,13,20,1
274,274,2017-10-17,3,7,36,0
275,275,2017-10-18,23,20,291,0
276,276,2017-10-19,42,35,185,1
277,277,2017-10-20,7,15,16,0
280,280,2017-10-23,103,52,593,1
281,281,2017-10-24,3,0,47,1
282,282,2017-10-27,14,7,8,0
284,284,2017-10-31,4,4,1,1
285,285,2017-11-03,3,8,14,1
288,288,2017-11-06,3,9,52,0
289,289,2017-11-07,1,0,13,1
290,290,2017-11-08,1,0,5,0
291,291,2017-11-09,6,10,16,0
292,292,2017-11-10,4,7,17,0
293,293,2017-11-14,0,0,2,1
294,294,2017-11-17,0,0,1,1
296,296,2017-11-21,0,0,2,1
297,297,2017-11-22,4,15,18,1
298,298,2017-11-23,0,2,0,1
299,299,2017-11-30,6,7,15,0
300,300,2017-12-01,1,4,50,1
302,302,2017-12-05,31,40,28,0
303,303,2017-12-06,4,10,5,0
304,304,2017-12-07,3,13,8,0
306,306,2017-12-11,12,5,6,1
307,307,2017-12-13,1,5,4,1
308,308,2017-12-14,0,0,2,1
309,309,2017-12-15,0,2,0,0
311,311,2017-12-18,5,7,59,1
312,312,2017-12-19,0,2,9,0
313,313,2017-12-20,0,0,3,1
316,316,2017-12-26,5,10,8,0
317,317,2017-12-27,0,2,4,1
318,318,2017-12-28,6,18,31,1
321,321,2018-01-08,0,1,4,1
322,322,2018-01-12,0,0,2,1
323,323,2018-01-16,0,1,0,1
324,324,2018-01-17,0,1,0,1
325,325,2018-01-18,0,1,0,1
326,326,2018-01-19,0,0,1,1
327,327,2018-01-24,0,0,1,0
328,328,2018-01-26,1,0,0,0
330,330,2018-01-30,1,1,10,0
331,331,2018-01-31,0,0,1,1
332,332,2018-02-01,1,1,3,1
334,334,2018-02-08,1,0,4,0
336,336,2018-02-12,0,0,4,1
341,341,2018-02-22,1,4,18,0
342,342,2018-02-23,0,0,1,1
345,345,2018-02-26,0,2,3,1
347,347,2018-03-01,0,2,1,0
348,348,2018-03-02,1,2,139,0
351,351,2018-03-05,1,1,67,0
352,352,2018-03-06,2,7,148,1
353,353,2018-03-07,2,1,19,0
354,354,2018-03-08,0,3,17,1
355,355,2018-03-09,0,1,8,1
357,357,2018-03-12,6,5,117,1
358,358,2018-03-13,0,0,6,1
359,359,2018-03-14,8,6,45,0
360,360,2018-03-15,8,5,37,0
361,361,2018-03-16,0,0,2,1
362,362,2018-03-19,1,0,0,1
363,363,2018-03-20,0,0,6,0
364,364,2018-03-27,230,226,326,1
365,365,2018-03-28,463,503,314,0
366,366,2018-03-29,561,758,776,0
367,367,2018-03-30,520,640,360,1
370,370,2018-04-02,399,352,604,0
371,371,2018-04-03,598,730,967,0
377,377,2018-04-09,349,518,766,1
378,378,2018-04-10,556,672,407,1
379,379,2018-04-11,649,747,420,1
380,380,2018-04-12,627,767,560,0
